,,,,,,,,,,,,,,,,,,,,,,,,,
Market Snapshot,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 19-04-2025 to 19-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,,,,,,,,,,,,,,,,,,
19-04-2025,1,00:00 - 00:15,15587.30,6913.90,6910.90,6910.90,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,1,00:15 - 00:30,15201.60,7516.40,7433.60,7433.60,9909.84,,,,,,,,,,,,,,,,,,
19-04-2025,1,00:30 - 00:45,14876.60,7670.70,7172.10,7172.10,9909.01,,,,,,,,,,,,,,,,,,
19-04-2025,1,00:45 - 01:00,14523.60,7999.30,6837.60,6837.60,8009.10,,,,,,,,,,,,,,,,,,
19-04-2025,2,01:00 - 01:15,13904.50,7819.50,6537.10,6537.10,7181.93,,,,,,,,,,,,,,,,,,
19-04-2025,2,01:15 - 01:30,14083.40,8013.10,6773.30,6773.30,8009.20,,,,,,,,,,,,,,,,,,
19-04-2025,2,01:30 - 01:45,13688.80,8098.60,6487.10,6487.10,7181.54,,,,,,,,,,,,,,,,,,
19-04-2025,2,01:45 - 02:00,13541.70,8389.90,6506.20,6506.20,7181.15,,,,,,,,,,,,,,,,,,
19-04-2025,3,02:00 - 02:15,13157.30,8399.20,6506.10,6506.10,6498.02,,,,,,,,,,,,,,,,,,
19-04-2025,3,02:15 - 02:30,12865.40,8604.20,6342.90,6342.90,5979.12,,,,,,,,,,,,,,,,,,
19-04-2025,3,02:30 - 02:45,12708.80,8790.10,6349.99,6349.99,5000.88,,,,,,,,,,,,,,,,,,
19-04-2025,3,02:45 - 03:00,12511.50,8986.70,6382.20,6382.20,4992.39,,,,,,,,,,,,,,,,,,
19-04-2025,4,03:00 - 03:15,12180.90,9089.20,6057.00,6057.00,4784.01,,,,,,,,,,,,,,,,,,
19-04-2025,4,03:15 - 03:30,12089.60,9288.30,5988.50,5988.50,4699.43,,,,,,,,,,,,,,,,,,
19-04-2025,4,03:30 - 03:45,11901.10,9558.20,6108.00,6108.00,4450.03,,,,,,,,,,,,,,,,,,
19-04-2025,4,03:45 - 04:00,11892.80,9820.50,6065.30,6065.30,4449.09,,,,,,,,,,,,,,,,,,
19-04-2025,5,04:00 - 04:15,11631.70,9802.20,6090.10,6090.10,4000.09,,,,,,,,,,,,,,,,,,
19-04-2025,5,04:15 - 04:30,11698.20,9787.80,6027.00,6027.00,4050.60,,,,,,,,,,,,,,,,,,
19-04-2025,5,04:30 - 04:45,11708.70,9836.40,6025.90,6025.90,4132.36,,,,,,,,,,,,,,,,,,
19-04-2025,5,04:45 - 05:00,11699.30,9858.10,6118.90,6118.90,4000.52,,,,,,,,,,,,,,,,,,
19-04-2025,6,05:00 - 05:15,12718.30,10149.70,6800.50,6800.50,4500.24,,,,,,,,,,,,,,,,,,
19-04-2025,6,05:15 - 05:30,13018.20,10080.30,6751.20,6751.20,4780.17,,,,,,,,,,,,,,,,,,
19-04-2025,6,05:30 - 05:45,13246.40,10713.00,7364.20,7364.20,4489.86,,,,,,,,,,,,,,,,,,
19-04-2025,6,05:45 - 06:00,13312.40,10985.00,7484.80,7484.80,4449.07,,,,,,,,,,,,,,,,,,
19-04-2025,7,06:00 - 06:15,14117.60,11597.00,8291.30,8291.30,4780.47,,,,,,,,,,,,,,,,,,
19-04-2025,7,06:15 - 06:30,14983.10,12446.90,9240.20,9240.20,4780.35,,,,,,,,,,,,,,,,,,
19-04-2025,7,06:30 - 06:45,15010.70,13929.70,9935.40,9935.40,4300.45,,,,,,,,,,,,,,,,,,
19-04-2025,7,06:45 - 07:00,14087.50,14725.20,9490.10,9490.10,3999.93,,,,,,,,,,,,,,,,,,
19-04-2025,8,07:00 - 07:15,12460.90,15962.20,7868.10,7868.10,3759.23,,,,,,,,,,,,,,,,,,
19-04-2025,8,07:15 - 07:30,11055.40,17406.00,7167.90,7167.90,3330.25,,,,,,,,,,,,,,,,,,
19-04-2025,8,07:30 - 07:45,10200.20,19333.50,7120.10,7120.10,3040.99,,,,,,,,,,,,,,,,,,
19-04-2025,8,07:45 - 08:00,9331.10,21257.00,7472.10,7472.10,2963.91,,,,,,,,,,,,,,,,,,
19-04-2025,9,08:00 - 08:15,8748.90,25303.10,6914.70,6914.70,2405.87,,,,,,,,,,,,,,,,,,
19-04-2025,9,08:15 - 08:30,8831.30,27697.90,7018.10,7018.10,2250.97,,,,,,,,,,,,,,,,,,
19-04-2025,9,08:30 - 08:45,8870.90,29711.70,7483.70,7483.70,2089.42,,,,,,,,,,,,,,,,,,
19-04-2025,9,08:45 - 09:00,8397.00,31062.90,7287.50,7287.50,1789.87,,,,,,,,,,,,,,,,,,
19-04-2025,10,09:00 - 09:15,7849.10,31706.50,6940.30,6940.30,1699.24,,,,,,,,,,,,,,,,,,
19-04-2025,10,09:15 - 09:30,7421.60,30546.00,6764.40,6764.40,1549.11,,,,,,,,,,,,,,,,,,
19-04-2025,10,09:30 - 09:45,7358.40,31153.90,6700.60,6700.60,1699.05,,,,,,,,,,,,,,,,,,
19-04-2025,10,09:45 - 10:00,7240.90,31654.00,6584.10,6584.10,1549.59,,,,,,,,,,,,,,,,,,
19-04-2025,11,10:00 - 10:15,6916.90,33386.50,6263.70,6263.70,1439.93,,,,,,,,,,,,,,,,,,
19-04-2025,11,10:15 - 10:30,6910.30,33855.60,6252.40,6252.40,1500.04,,,,,,,,,,,,,,,,,,
19-04-2025,11,10:30 - 10:45,7006.70,34963.20,6246.20,6246.20,1699.11,,,,,,,,,,,,,,,,,,
19-04-2025,11,10:45 - 11:00,7121.50,36221.00,6360.10,6360.10,1699.36,,,,,,,,,,,,,,,,,,
19-04-2025,12,11:00 - 11:15,7134.20,37320.60,6323.60,6323.60,1699.41,,,,,,,,,,,,,,,,,,
19-04-2025,12,11:15 - 11:30,7176.00,38152.80,6365.30,6365.30,1699.52,,,,,,,,,,,,,,,,,,
19-04-2025,12,11:30 - 11:45,7299.10,38036.50,6479.80,6479.80,1721.75,,,,,,,,,,,,,,,,,,
19-04-2025,12,11:45 - 12:00,7321.40,38434.00,6509.10,6509.10,1699.74,,,,,,,,,,,,,,,,,,
19-04-2025,13,12:00 - 12:15,7176.90,38335.10,6364.30,6364.30,1648.73,,,,,,,,,,,,,,,,,,
19-04-2025,13,12:15 - 12:30,7204.30,38382.90,6391.60,6391.60,1648.58,,,,,,,,,,,,,,,,,,
19-04-2025,13,12:30 - 12:45,7224.40,38543.40,6412.50,6412.50,1648.49,,,,,,,,,,,,,,,,,,
19-04-2025,13,12:45 - 13:00,7239.80,38518.70,6426.70,6426.70,1648.40,,,,,,,,,,,,,,,,,,
19-04-2025,14,13:00 - 13:15,7214.90,39039.50,6301.30,6301.30,1648.12,,,,,,,,,,,,,,,,,,
19-04-2025,14,13:15 - 13:30,7283.90,39108.80,6371.60,6371.60,1648.16,,,,,,,,,,,,,,,,,,
19-04-2025,14,13:30 - 13:45,7431.50,38521.60,6518.10,6518.10,1648.38,,,,,,,,,,,,,,,,,,
19-04-2025,14,13:45 - 14:00,7596.20,37898.80,6684.30,6684.30,1648.77,,,,,,,,,,,,,,,,,,
19-04-2025,15,14:00 - 14:15,7691.40,37041.40,6778.00,6778.00,1648.95,,,,,,,,,,,,,,,,,,
19-04-2025,15,14:15 - 14:30,8197.80,36488.90,7265.52,7265.52,1750.03,,,,,,,,,,,,,,,,,,
19-04-2025,15,14:30 - 14:45,8634.70,33911.30,7750.24,7750.24,1750.16,,,,,,,,,,,,,,,,,,
19-04-2025,15,14:45 - 15:00,9142.30,33142.40,7875.50,7875.50,1881.09,,,,,,,,,,,,,,,,,,
19-04-2025,16,15:00 - 15:15,10421.90,31775.10,8715.50,8715.50,2215.85,,,,,,,,,,,,,,,,,,
19-04-2025,16,15:15 - 15:30,10791.70,30797.70,9007.90,9007.90,2405.33,,,,,,,,,,,,,,,,,,
19-04-2025,16,15:30 - 15:45,11114.30,29982.70,9177.00,9177.00,2463.95,,,,,,,,,,,,,,,,,,
19-04-2025,16,15:45 - 16:00,11620.70,29435.00,9415.60,9415.60,2569.70,,,,,,,,,,,,,,,,,,
19-04-2025,17,16:00 - 16:15,12156.30,26965.90,9431.10,9431.10,2810.25,,,,,,,,,,,,,,,,,,
19-04-2025,17,16:15 - 16:30,12416.50,24430.80,9584.70,9584.70,2918.98,,,,,,,,,,,,,,,,,,
19-04-2025,17,16:30 - 16:45,12476.90,23177.00,9261.00,9261.00,2966.95,,,,,,,,,,,,,,,,,,
19-04-2025,17,16:45 - 17:00,12558.50,21661.70,8530.10,8530.10,3044.41,,,,,,,,,,,,,,,,,,
19-04-2025,18,17:00 - 17:15,12113.40,18795.80,8075.20,8075.20,3070.84,,,,,,,,,,,,,,,,,,
19-04-2025,18,17:15 - 17:30,12303.20,17204.00,7673.80,7673.80,3249.35,,,,,,,,,,,,,,,,,,
19-04-2025,18,17:30 - 17:45,12165.40,14735.30,7387.89,7387.89,3310.46,,,,,,,,,,,,,,,,,,
19-04-2025,18,17:45 - 18:00,12740.90,12359.10,7007.90,7007.90,4000.00,,,,,,,,,,,,,,,,,,
19-04-2025,19,18:00 - 18:15,12378.60,11513.60,7234.20,7234.20,4073.26,,,,,,,,,,,,,,,,,,
19-04-2025,19,18:15 - 18:30,12524.00,10253.40,7173.59,7173.59,4400.07,,,,,,,,,,,,,,,,,,
19-04-2025,19,18:30 - 18:45,12704.60,8438.40,6495.50,6495.50,4999.89,,,,,,,,,,,,,,,,,,
19-04-2025,19,18:45 - 19:00,12339.00,6289.20,5547.60,5547.60,6000.00,,,,,,,,,,,,,,,,,,
19-04-2025,20,19:00 - 19:15,13892.30,5100.40,5100.29,5100.29,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,20,19:15 - 19:30,14318.10,4945.00,4944.90,4944.90,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,20,19:30 - 19:45,14326.60,4962.10,4962.00,4962.00,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,20,19:45 - 20:00,14430.50,5293.40,5293.29,5293.29,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,21,20:00 - 20:15,13381.10,5511.70,5511.60,5511.60,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,21,20:15 - 20:30,13086.80,5577.00,5576.89,5576.89,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,21,20:30 - 20:45,13199.00,5275.00,5274.90,5274.90,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,21,20:45 - 21:00,13341.20,5146.50,5146.40,5146.40,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,22,21:00 - 21:15,13571.00,5705.30,5305.20,5305.20,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,22,21:15 - 21:30,13478.50,5688.20,5288.10,5288.10,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,22,21:30 - 21:45,13330.90,6061.70,5661.60,5661.60,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,22,21:45 - 22:00,13435.40,6015.90,5615.80,5615.80,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,23,22:00 - 22:15,13773.30,5234.30,5234.20,5234.20,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,23,22:15 - 22:30,14216.90,5194.70,5194.59,5194.59,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,23,22:30 - 22:45,15183.60,5196.30,5196.18,5196.18,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,23,22:45 - 23:00,15448.60,5147.30,5147.20,5147.20,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,24,23:00 - 23:15,15363.50,5165.10,5164.99,5164.99,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,24,23:15 - 23:30,15360.30,5184.30,5184.18,5184.18,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,24,23:30 - 23:45,15105.70,5307.30,5307.20,5307.20,10000.00,,,,,,,,,,,,,,,,,,
19-04-2025,24,23:45 - 24:00,14972.80,5325.10,5325.00,5325.00,10000.00,,,,,,,,,,,,,,,,,,
20-04-2025,1,00:00 - 00:15,11870.80,7161.70,5520.00,5520.00,5993.35,,,,,,,,,,,,,,,,,,
20-04-2025,1,00:15 - 00:30,11856.80,7593.60,5532.10,5532.10,5499.30,,,,,,,,,,,,,,,,,,
20-04-2025,1,00:30 - 00:45,11892.60,7662.10,5573.00,5573.00,5499.14,,,,,,,,,,,,,,,,,,
20-04-2025,1,00:45 - 01:00,11863.30,7754.70,5586.70,5586.70,5450.45,,,,,,,,,,,,,,,,,,
20-04-2025,2,01:00 - 01:15,11550.90,7858.00,5693.20,5693.20,5499.61,,,,,,,,,,,,,,,,,,
20-04-2025,2,01:15 - 01:30,11584.00,8181.40,5910.80,5910.80,5051.62,,,,,,,,,,,,,,,,,,
20-04-2025,2,01:30 - 01:45,11648.30,8301.10,6023.50,6023.50,5051.58,,,,,,,,,,,,,,,,,,
20-04-2025,2,01:45 - 02:00,11699.60,8327.60,6086.20,6086.20,5450.59,,,,,,,,,,,,,,,,,,
20-04-2025,3,02:00 - 02:15,11413.10,8687.20,6186.61,6186.61,4999.29,,,,,,,,,,,,,,,,,,
20-04-2025,3,02:15 - 02:30,11316.80,8653.40,6132.92,6132.92,4999.27,,,,,,,,,,,,,,,,,,
20-04-2025,3,02:30 - 02:45,11240.70,8882.60,6089.80,6089.80,4784.88,,,,,,,,,,,,,,,,,,
20-04-2025,3,02:45 - 03:00,11129.00,9012.50,6011.30,6011.30,4784.64,,,,,,,,,,,,,,,,,,
20-04-2025,4,03:00 - 03:15,10962.50,9530.40,5746.34,5746.34,4601.24,,,,,,,,,,,,,,,,,,
20-04-2025,4,03:15 - 03:30,10780.50,9793.50,5740.60,5740.60,4490.73,,,,,,,,,,,,,,,,,,
20-04-2025,4,03:30 - 03:45,10638.40,10180.90,5764.50,5764.50,4449.43,,,,,,,,,,,,,,,,,,
20-04-2025,4,03:45 - 04:00,10554.80,10424.00,5813.80,5813.80,4009.81,,,,,,,,,,,,,,,,,,
20-04-2025,5,04:00 - 04:15,10437.90,10548.60,5628.00,5628.00,4230.34,,,,,,,,,,,,,,,,,,
20-04-2025,5,04:15 - 04:30,10339.70,10265.00,5506.83,5506.83,4449.13,,,,,,,,,,,,,,,,,,
20-04-2025,5,04:30 - 04:45,10398.90,9993.90,5500.70,5500.70,4480.12,,,,,,,,,,,,,,,,,,
20-04-2025,5,04:45 - 05:00,10413.40,10267.60,5595.42,5595.42,4449.39,,,,,,,,,,,,,,,,,,
20-04-2025,6,05:00 - 05:15,10467.20,11508.60,5871.50,5871.50,3768.01,,,,,,,,,,,,,,,,,,
20-04-2025,6,05:15 - 05:30,10782.70,11563.50,6191.70,6191.70,3768.79,,,,,,,,,,,,,,,,,,
20-04-2025,6,05:30 - 05:45,11193.40,11571.10,6602.70,6602.70,3799.82,,,,,,,,,,,,,,,,,,
20-04-2025,6,05:45 - 06:00,11409.70,11485.30,6802.30,6802.30,3800.00,,,,,,,,,,,,,,,,,,
20-04-2025,7,06:00 - 06:15,11883.90,11947.10,7662.70,7662.70,4300.67,,,,,,,,,,,,,,,,,,
20-04-2025,7,06:15 - 06:30,12221.20,12562.10,8131.70,8131.70,4250.06,,,,,,,,,,,,,,,,,,
